timestamp,X,Y,Z,Rx,Ry,Rz,Vx,Vy,Vz,VRx,VRy,VRz,collided_counts
16056000,0.000000,-0.000000,-0.210146,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079780,-0.000000,-0.000000,-0.000000,6
16057000,0.000000,-0.000000,-0.210226,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079859,-0.000000,-0.000000,-0.000000,6
16058000,-0.000000,-0.000000,-0.210306,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.079938,-0.000000,-0.000000,-0.000000,6
16059000,-0.000000,-0.000000,-0.210386,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080016,-0.000000,-0.000000,-0.000000,6
16060000,-0.000000,-0.000000,-0.210466,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080095,-0.000000,-0.000000,-0.000000,6
16061000,-0.000000,-0.000000,-0.210546,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080172,-0.000000,-0.000000,-0.000000,6
16062000,-0.000000,-0.000000,-0.210626,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080250,-0.000000,-0.000000,-0.000000,6
16063000,-0.000000,-0.000000,-0.210707,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080328,-0.000000,-0.000000,-0.000000,6
16064000,-0.000000,-0.000000,-0.210787,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080405,-0.000000,-0.000000,-0.000000,6
16065000,-0.000000,-0.000000,-0.210868,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080481,-0.000000,-0.000000,-0.000000,6
16066000,-0.000000,-0.000000,-0.210948,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080558,-0.000000,-0.000000,-0.000000,6
16067000,-0.000000,-0.000000,-0.211029,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080634,-0.000000,-0.000000,-0.000000,6
16068000,-0.000000,-0.000000,-0.211109,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080710,-0.000000,-0.000000,-0.000000,6
16069000,-0.000000,-0.000000,-0.211190,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080786,-0.000000,-0.000000,-0.000000,6
16070000,-0.000000,-0.000000,-0.211271,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080861,-0.000000,-0.000000,-0.000000,6
16071000,-0.000000,-0.000000,-0.211352,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.080936,-0.000000,-0.000000,-0.000000,6
16072000,-0.000000,-0.000000,-0.211433,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081011,-0.000000,-0.000000,-0.000000,6
16073000,-0.000000,-0.000000,-0.211514,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081085,-0.000000,-0.000000,0.000000,6
16074000,-0.000000,-0.000000,-0.211595,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081160,-0.000000,-0.000000,0.000000,6
16075000,-0.000000,-0.000000,-0.211677,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081233,-0.000000,-0.000000,0.000000,6
16076000,-0.000000,-0.000000,-0.211758,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081307,-0.000000,-0.000000,0.000000,6
16077000,-0.000000,-0.000000,-0.211839,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081380,-0.000000,-0.000000,0.000000,6
16078000,-0.000000,-0.000000,-0.211921,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081453,-0.000000,-0.000000,0.000000,6
16079000,-0.000000,-0.000000,-0.212002,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081526,-0.000000,-0.000000,0.000000,6
16080000,-0.000000,-0.000000,-0.212084,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081599,-0.000000,-0.000000,0.000000,6
16081000,-0.000000,-0.000000,-0.212165,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081671,-0.000000,-0.000000,0.000000,6
16082000,-0.000000,-0.000000,-0.212247,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081743,-0.000000,-0.000000,0.000000,6
16083000,-0.000000,-0.000000,-0.212329,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081814,-0.000000,-0.000000,0.000000,6
16084000,-0.000000,-0.000000,-0.212411,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081886,-0.000000,-0.000000,0.000000,6
16085000,-0.000000,-0.000000,-0.212493,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.081957,-0.000000,-0.000000,0.000000,6
16086000,-0.000000,-0.000000,-0.212575,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082027,-0.000000,-0.000000,0.000000,6
16087000,-0.000000,-0.000000,-0.212657,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082098,-0.000000,-0.000000,0.000000,6
16088000,-0.000000,-0.000000,-0.212739,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082168,-0.000000,-0.000000,0.000000,6
16089000,-0.000000,-0.000000,-0.212821,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082238,-0.000000,-0.000000,0.000000,6
16090000,-0.000000,-0.000000,-0.212904,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082308,-0.000000,-0.000000,0.000000,6
16091000,-0.000000,-0.000000,-0.212986,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082377,-0.000000,-0.000000,0.000000,6
16092000,-0.000000,-0.000000,-0.213069,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082446,-0.000000,-0.000000,0.000000,6
16093000,-0.000000,-0.000000,-0.213151,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082515,-0.000000,-0.000000,0.000000,6
16094000,-0.000000,-0.000000,-0.213234,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082584,-0.000000,-0.000000,0.000000,6
16095000,-0.000000,-0.000000,-0.213316,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082652,-0.000000,-0.000000,0.000000,6
16096000,-0.000000,-0.000000,-0.213399,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082720,-0.000000,-0.000000,0.000000,6
16097000,-0.000000,-0.000000,-0.213482,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082787,-0.000000,-0.000000,0.000000,6
16098000,-0.000000,-0.000000,-0.213565,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082855,-0.000000,-0.000000,0.000000,6
16099000,-0.000000,-0.000000,-0.213648,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082922,-0.000000,-0.000000,0.000000,6
16100000,-0.000000,-0.000000,-0.213731,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.082989,-0.000000,-0.000000,0.000000,6
16101000,-0.000000,-0.000000,-0.213814,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083056,-0.000000,-0.000000,0.000000,6
16102000,-0.000000,-0.000000,-0.213897,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083122,-0.000000,-0.000000,0.000000,6
16103000,-0.000000,-0.000000,-0.213980,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083188,-0.000000,-0.000000,-0.000000,6
16104000,-0.000000,-0.000000,-0.214063,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083254,-0.000000,-0.000000,-0.000000,6
16105000,-0.000000,-0.000000,-0.214146,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083319,-0.000000,-0.000000,-0.000000,6
16106000,-0.000000,-0.000000,-0.214230,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083385,-0.000000,-0.000000,-0.000000,6
16107000,-0.000000,-0.000000,-0.214313,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083450,-0.000000,-0.000000,-0.000000,6
16108000,-0.000000,-0.000000,-0.214397,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083514,-0.000000,-0.000000,-0.000000,6
16109000,-0.000000,-0.000000,-0.214480,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083579,-0.000000,-0.000000,-0.000000,6
16110000,-0.000000,-0.000000,-0.214564,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083643,-0.000000,-0.000000,-0.000000,6
16111000,-0.000000,-0.000000,-0.214648,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083707,-0.000000,-0.000000,-0.000000,6
16112000,-0.000000,-0.000000,-0.214732,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083770,-0.000000,-0.000000,-0.000000,6
16113000,-0.000000,-0.000000,-0.214815,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083834,-0.000000,-0.000000,-0.000000,6
16114000,-0.000000,-0.000000,-0.214899,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083897,-0.000000,-0.000000,-0.000000,6
16115000,-0.000000,-0.000000,-0.214983,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.083960,-0.000000,-0.000000,-0.000000,6
16116000,-0.000000,-0.000000,-0.215067,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084022,-0.000000,-0.000000,-0.000000,6
16117000,-0.000000,-0.000000,-0.215151,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084085,-0.000000,-0.000000,-0.000000,6
16118000,-0.000000,-0.000000,-0.215235,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084147,-0.000000,-0.000000,-0.000000,6
16119000,-0.000000,-0.000000,-0.215320,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084209,-0.000000,-0.000000,-0.000000,6
16120000,-0.000000,-0.000000,-0.215404,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084270,-0.000000,-0.000000,-0.000000,6
16121000,-0.000000,-0.000000,-0.215488,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084331,-0.000000,-0.000000,-0.000000,6
16122000,-0.000000,-0.000000,-0.215573,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084392,-0.000000,-0.000000,-0.000000,6
16123000,-0.000000,-0.000000,-0.215657,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084453,-0.000000,-0.000000,-0.000000,6
16124000,-0.000000,-0.000000,-0.215742,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084514,-0.000000,-0.000000,-0.000000,6
16125000,-0.000000,-0.000000,-0.215826,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084574,-0.000000,-0.000000,-0.000000,6
16126000,-0.000000,-0.000000,-0.215911,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084634,-0.000000,-0.000000,-0.000000,6
16127000,-0.000000,-0.000000,-0.215996,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084694,-0.000000,-0.000000,-0.000000,6
16128000,-0.000000,-0.000000,-0.216080,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084753,-0.000000,-0.000000,-0.000000,6
16129000,-0.000000,-0.000000,-0.216165,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084812,-0.000000,-0.000000,-0.000000,6
16130000,-0.000000,-0.000000,-0.216250,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084871,-0.000000,-0.000000,-0.000000,6
16131000,-0.000000,-0.000000,-0.216335,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084930,-0.000000,-0.000000,-0.000000,6
16132000,-0.000000,-0.000000,-0.216420,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.084988,-0.000000,-0.000000,-0.000000,6
